,id,rating,release_date_cert
552,27579,R,2010-09-01 00:00:00+00:00
553,50837,R,2011-01-21 00:00:00+00:00
554,97370,R,2014-04-04 00:00:00+00:00
555,97370,R,2014-04-04 00:00:00+00:00
556,121826,PG-13,2013-01-10 00:00:00+00:00
557,284689,PG-13,2015-06-04 00:00:00+00:00
558,133194,,2010-04-08 00:00:00+00:00
559,133194,,2010-04-08 00:00:00+00:00
560,133194,,2010-04-08 00:00:00+00:00
561,133194,,2010-04-08 00:00:00+00:00
562,133194,,2010-04-08 00:00:00+00:00
563,81188,PG,2012-11-21 00:00:00+00:00
564,70981,R,2012-06-08 00:00:00+00:00
565,46198,PG,2010-04-22 00:00:00+00:00
566,49021,R,2011-09-23 00:00:00+00:00
567,51162,G,2011-07-14 00:00:00+00:00
568,62211,G,2013-06-21 00:00:00+00:00
569,50014,PG-13,2011-08-10 00:00:00+00:00
570,49047,PG-13,2013-10-04 00:00:00+00:00
571,405775,R,2017-05-12 00:00:00+00:00
572,405775,R,2017-05-12 00:00:00+00:00
573,405775,R,2017-05-12 00:00:00+00:00
574,138843,R,2013-07-19 00:00:00+00:00
575,293768,R,2017-08-04 00:00:00+00:00
576,43539,PG-13,2010-11-19 00:00:00+00:00
577,167073,PG-13,2015-11-04 00:00:00+00:00
578,167073,PG-13,2015-11-04 00:00:00+00:00
579,167073,PG-13,2015-11-04 00:00:00+00:00
580,292481,PG,2014-08-18 00:00:00+00:00
581,69668,PG-13,2011-09-30 00:00:00+00:00
582,35691,PG,2010-04-09 00:00:00+00:00
583,26388,R,2010-09-24 00:00:00+00:00
584,26388,R,2010-09-24 00:00:00+00:00
585,71864,PG,2012-08-15 00:00:00+00:00
586,38322,PG-13,2011-02-18 00:00:00+00:00
587,52015,R,2010-10-01 00:00:00+00:00
588,274479,PG-13,2015-12-25 00:00:00+00:00
589,274479,PG-13,2015-12-25 00:00:00+00:00
590,274479,PG-13,2015-12-25 00:00:00+00:00
591,274479,PG-13,2015-12-25 00:00:00+00:00
592,339846,R,2017-05-26 00:00:00+00:00
593,74457,,2011-08-26 00:00:00+00:00
594,37931,R,2010-05-21 00:00:00+00:00
595,43933,R,2010-03-13 00:00:00+00:00
596,286567,PG-13,2016-10-14 00:00:00+00:00
597,286567,PG-13,2016-10-14 00:00:00+00:00
598,41439,R,2010-10-28 00:00:00+00:00
599,297802,PG-13,2019-03-05 00:00:00+00:00
600,52067,R,2011-02-11 00:00:00+00:00
601,55721,R,2011-04-28 00:00:00+00:00
602,59678,R,2011-07-29 00:00:00+00:00
603,44010,G,2010-09-10 00:00:00+00:00
604,44010,G,2010-09-10 00:00:00+00:00
605,75612,PG-13,2013-04-18 00:00:00+00:00
606,75612,PG-13,2013-04-18 00:00:00+00:00
607,40428,,2010-01-01 00:00:00+00:00
608,316029,PG,2017-12-20 00:00:00+00:00
609,316029,PG,2017-12-20 00:00:00+00:00
610,49730,PG-13,2011-03-11 00:00:00+00:00
611,45168,,2010-04-20 00:00:00+00:00
612,50601,R,2011-08-18 00:00:00+00:00
613,172391,G,2013-12-07 00:00:00+00:00
614,133931,G,2012-07-07 00:00:00+00:00
615,49520,R,2011-08-05 00:00:00+00:00
616,329440,R,2016-01-08 00:00:00+00:00
617,329440,R,2016-01-08 00:00:00+00:00
618,329440,R,2016-01-08 00:00:00+00:00
619,302699,PG-13,2016-06-17 00:00:00+00:00
620,137106,PG,2014-02-07 00:00:00+00:00
621,68812,R,2012-09-01 00:00:00+00:00
622,176069,,2012-04-22 00:00:00+00:00
623,82390,R,2012-10-05 00:00:00+00:00
624,47760,PG-13,2011-09-16 00:00:00+00:00
625,47760,PG-13,2011-09-16 00:00:00+00:00
626,47760,PG-13,2011-09-16 00:00:00+00:00
627,51540,R,2011-07-08 00:00:00+00:00
628,47327,R,2011-02-24 00:00:00+00:00
629,424139,R,2018-10-19 00:00:00+00:00
630,166424,PG-13,2015-08-07 00:00:00+00:00
631,70435,R,2011-11-06 00:00:00+00:00
632,106541,,2011-10-21 00:00:00+00:00
633,106541,,2011-10-21 00:00:00+00:00
634,106541,,2011-10-21 00:00:00+00:00
635,106541,,2011-10-21 00:00:00+00:00
636,52451,PG-13,2011-10-20 00:00:00+00:00
637,66942,PG-13,2011-08-19 00:00:00+00:00
638,45132,R,2011-03-31 00:00:00+00:00
639,45132,R,2011-03-31 00:00:00+00:00
640,58574,PG-13,2011-12-16 00:00:00+00:00
641,477577,NR,2018-08-07 00:00:00+00:00
642,477577,NR,2018-08-07 00:00:00+00:00
643,477577,NR,2018-08-07 00:00:00+00:00
644,477577,NR,2018-08-07 00:00:00+00:00
645,72710,PG-13,2013-03-29 00:00:00+00:00
646,72710,PG-13,2013-03-29 00:00:00+00:00
647,57120,PG,2010-10-08 00:00:00+00:00
